id	Path	Artist	Title	Material	Dimensions	Signature/Inscriptions	Provenance	Source	Accession Number(s)	Name	Description	Artist Sort	Keywords	Height	Width	Foreground R	Foreground B	Foreground G	H	S	V	x	y
AN1915.185	AN1915.185.jpg	Russian Artist (19th century)	Icon of St Nicholas	Oil on panel	17.4 x 13.7 cm			Bequeathed by Professor Ingram Bywater, 1915	AN1915.185		St Nicholas, whose name is inscribed in Slavonic, holds a large codex and is flanked above by cloud-borne figures of Christ and the Virgin, identified in Greek in a pale blue sky. A silver revetment (<i>riza</i>) belonging to this icon is preserved.	Anonymous, Russian Artist 19th century	art, religion, painting, people, illustration, god, aura, saint, print, veil, facial hair, crown, spirituality, man, church, ancient, text, gown, sculpture, Mary	17.4	13.7	155.0	139.0	108.0	39.0	0.3	0.61	-4.112662473239968	2.3571160057589853
AN1915.186	AN1915.186.jpg	Russian (18th century)	Icon of The Virgin Hodegetria surrounded by Saints with Scrolls	Oil on panel	27.5 x 24 cm			Bequeathed by Professor Ingram Bywater, 1915	AN1915.186		The Virgin Hodegetria was a popular iconographic type portraying the Virgin who 'shows the way', gesturing to the Child who holds here an open scroll written in Slavonic. These figures are surrounded by small full-length figures of saints (Gabriel, Gerasimos, Blaise, Eudokia, Procopius, Basil, Paraskeve, John) likewise holding open inscribed scrolls. The painting style of the main figures combines traditional and modern treatment of faces and drapery. A silver revetment (<i>riza</i>) dated 1778 and a halo dated 1830 are preserved.	Russian 18th century	religion, painting, art, saint, people, god, church, spirituality, aura, prayer, symbol, worship, man, veil, holy, facial hair, sculpture, Mary, book, chapel	27.5	24	154.0	131.0	99.0	34.0	0.36	0.6	10.66798899447835	-29.597481011852686
AN1915.187	AN1915.187.jpg	Russian (18th century)	Icon Triptych: Extended Deesis with military and other Saints	Oil on panel	7.2 x 21 cm (open)			Bequeathed by Professor Ingram Bywater, 1915	AN1915.187		This small triptych composed of panels set in hinged brass frames combines three types of scene. The central panel contains an extended Deesis (Intercession) with Christ flanked by (in descending order) Saints Peter and Paul, two angels, the Virgin and St John the Baptist and two monks. The left panel depicts two military saints, St Demetrios spearing a Roman emperor (Diocletian or Julian), and St George spearing a serpent. The right panel portrays two bishops, two male and one female saints, all turning towards the Deesis. Figures are inscribed in Slavonic.	Russian 18th century	art, old, lock, handle, door, no person, antique, religion, retro, wear, iron, decoration, ancient, painting, vintage, desktop, design, travel, metalwork, wood	7.2	21	169.0	112.0	85.0	19.0	0.5	0.66	-2.455399164130004	-3.0199913703802466
AN1915.188	AN1915.188.jpg	Russian (18th century)	Icon of St Nicholas	Oil on panel	31 x 24.8 cm			Bequeathed by Professor Ingram Bywater, 1915	AN1915.188		This icon of St Nicholas is a later iconographic version of the main figure seen in A1126 of the 16th-17th centuries. However, stylistically his facial features, the pronounced highlights of his robes and the gemmed codex cover may originate in a South Russian tradition. The saint's name is written in elaborate Slavonic script.	Russian 18th century	art, painting, religion, ancient, old, antique, aura, man, people, illustration, god, saint, fresco, vintage, crown, culture, symbol, cross, sacred, veil	31.0	24.8	143.0	109.0	59.0	35.0	0.59	0.56	-3.010966675854864	-5.371143344497468
AN1915.189	AN1915.189.jpg	Russian (18th/19th century)	Icon of The Crowned Virgin and Child 'Joy of those who grieve'	Oil on panel	18.1 x 15.3 cm			Bequeathed by Professor Ingram Bywater, 1915	AN1915.189		The icon portrays in a western, modern style a crowned Virgin and Child standing on a red cloud, the iconographic type entitled in Slavonic 'Joy of those who grieve', introduced in Russia in the 17th century. On either side are groups of figures identified (as the sick, the naked, etc.) by Slavonic inscriptions on horizontal banners. The icon may date to 1815 and a silver revetment (<i>riza</i>) dated 1833 is preserved.	Russian 18th/19th century	painting, art, religion, people, saint, god, Renaissance, cross, church, aura, veil, Mary, illustration, chapel, group, adult, allegory, baroque, holy, spirituality	18.1	15.3	139.0	119.0	80.0	39.0	0.42	0.55	-3.6784179771592096	-23.705895602583862
AN1915.190	AN1915.190.jpg	Russian Artist (19th century)	Icon of The Virgin Hodegetria	Oil on panel	32 x 28 cm			Bequeathed by Professor Ingram Bywater, 1915	AN1915.190		The Virgin Hodegetria (see AN1915.186), the figures inscribed in Greek, is represented here in the characteristic pose gesturing towards the Christ Child seated on her left arm. As with the Virgin Eleousa, this Byzantine iconographic type was taken over into Russian art. An unstamped silver revetment (<i>riza</i>) added to the icon is preserved.	Anonymous, Russian Artist 19th century	religion, art, god, saint, painting, church, ancient, worship, spirituality, sculpture, holy, old, prayer, aura, sacred, temple, Gothic, peace, religious, Gospel	32.0	28	145.0	100.0	55.0	29.0	0.62	0.57	-1.2165469782652316	0.00318552746093772
AN1915.191	AN1915.191.jpg	Russian (18th/19th century)	Icon of The Virgin Eleousa (Vladimir Virgin)	Oil on panel	26.7 x 21.7 cm			Bequeathed by Professor Ingram Bywater, 1915	AN1915.191		The Virgin Eleousa (of Tenderness) portrays the Mother and her Child with cheeks touching. A Byzantine icon of this type of Virgin, painted in the 11th century, reached Kiev in the 12th and became known as the Vladimir Virgin. The figures in the Ashmolean icon are inscribed in Greek, while a Russian inscription appears on the reverse. A gilt bronze revetment (<i>riza</i>) made for the icon is preserved.	Russian 18th/19th century	art, painting, religion, saint, god, church, illustration, aura, fresco, book, art, cross, holy, chapel, old, spirituality, Gospel, sacred, antique, people	26.7	21.7	145.0	71.0	39.0	18.0	0.73	0.57	-0.08289060489293631	-24.896038533417926
AN1916.23	AN1916.23.jpg	Thomas Luny (1759 - 1837)	The Engagement between H.M.S. Phoenix and the French Frigate Didon, 10 August 1805	oil on canvas	46 x 56 cm	Signed and dated: <em>Luny 1829</em>		Bequeathed by Revd Henry Fanshawe Tozer, 1916	AN1916.23		Luny served in the Royal Navy during the Napoleonic Wars and retired to Teignemouth in 1807. From that date until his death, he painted over 2,200 pictures, many of engagements he had experienced at first hand. H.M.S. Phoenix defeated the French ship Didon off Cape Finist&egrave;re on 10 August 1805. The French flag was afterwards presented to Aaron Tozer who was wounded in the engagement, and is now in the Ashmolean.	Luny, Thomas 1759 - 1837	ship, watercraft, transportation system, water, sail, vintage, sailboat, navy, illustration, navigation, vehicle, boat, warship, no person, sea, frigate, old, smoke, wind, exploration	46.0	56	190.0	199.0	180.0	88.0	0.1	0.78	10.23928826019624	-5.032302596131081
AN1916.24	AN1916.24.jpg	Thomas Luny (1759 - 1837)	H.M.S. Victorious taking the Rivoli, 22 February 1812	oil on canvas	38 x 51 cm	Signed and dated: <em>Luny 1833</em>		Bequeathed by Revd Henry Fanshawe Tozer, 1916	AN1916.24		Another painting by Luny of this engagement is in the National Maritime Museum.	Luny, Thomas 1759 - 1837	water, watercraft, ship, ocean, sea, no person, art, fog, sailboat, mist, landscape, smoke, travel, vehicle, transportation system, boat, light, illustration, river, exploration	38.0	51	157.0	155.0	125.0	56.0	0.2	0.62	-3.394500209191284	-19.50544104152036
AN1988.21	AN1988.21.jpg	Post-Byzantine Artist (17th century)	Icon Triptych: The Healing of the Paralytic [wings missing]	Oil on panel	14.4 x 8.5 cm		Purchased in Athens, 1914	Presented by Miss Rosemary Rendel in memory of her parents, Sir George and Lady Rendel, 1988	AN1988.21		This central panel of a triptych is set within a frame arched at the top, with lateral twisted columns. The Healing of the Paralytic formed part of the Byzantine New Testament miracle cycle sometimes included within the main feasts in monumental art. As portrayed here, Christ and the paralytic, holding his bed (inscribed in Greek 'Take your bed and walk'), fill the main part of the scene with a few observers to the left. The background is filled with a variety of buildings.	Anonymous, Post-Byzantine Artist 17th century	art, religion, painting, architecture, church, sculpture, old, saint, travel, god, no person, ancient, religious, temple, culture, building, spirituality, Gothic, statue, holy	14.4	8.5	188.0	173.0	153.0	34.0	0.19	0.74	-4.858936411864907	-0.08902243725889704
AN1988.22	AN1988.22.jpg	Russian Artist (16th/17th century)	Icon Triptych: The Twelve Feasts of the Church	Oil on panel	13.2 x 27.8 cm (open)		Purchased in Athens, 1914	Presented by Miss Rosemary Rendel in memory of her parents, Sir George and Lady Rendel, 1988	AN1988.22		The Dodekaorton 'Twelve Feast Cycle' is portrayed on three panels set within hinged metal frames. At the top is a central Mandylion (the Holy Towel with Christ's face) flanked by seraphs. Above are the Annunciation, Nativity, Presentation in the Temple, Baptism, Raising of Lazarus, Entry into Jerusalem; below, Transfiguration, Anastasis, Ascension, Pentecost, Old Testament Trinity, Dormition. The cycle is executed in fine detail in a figure style reminiscent of the Pokrov icon (A344).	Anonymous, Russian Artist 16th/17th century	art, religion, church, cross, god, culture, painting, ancient, old, sculpture, traditional, saint, symbol, spirituality, temple, holy, religious, travel, worship, antique	13.2	27.8	195.0	176.0	145.0	37.0	0.26	0.76	11.43978870802417	1.038634522158072
AN1988.23	AN1988.23.jpg	Post-Byzantine (16th/17th century)	Icon of The Seven Sleepers of Ephesus	Oil on panel	15.2 x 13.2 cm		Purchased in Athens, 1914	Presented by Miss Rosemary Rendel in memory of her parents, Sir George and Lady Rendel, 1988	AN1988.23		The Seven Sleepers of Ephesus, whose names are given in Greek, are shown reclining inside a cave where a basket of olives hangs from the roof. Jagged mountain peaks rise above the cave. Legend records that the Christian youths seeking refuge in a cave from the persecution of the Emperor Decius in c. 200, fell asleep and were miraculously awakened over two hundred years later at the time of the Council of Ephesus (431). This was a popular subject in Cretan icons from the 15th century onwards.	Post-Byzantine 16th/17th century	religion, painting, saint, art, god, book, aura, church, holy, spirituality, ancient, fresco, old, prayer, people, religious, illustration, Gospel, symbol, Mary	15.2	13.2	158.0	129.0	99.0	30.0	0.37	0.62	-3.8014212760208617	-1.1533177359769209
AN1990.101	AN1990.101.jpg	British Artist (18th century)	Death leading a pagan Woman	Painted plaster on panel	54.5 cm x 54.5 cm (inc. frame)	Inscribed: <em>Paganefs</em>			AN1990.101	Oxoniensia 2 1937, pp. 179-186	Part of a cycle of forty related images. Based on a 16th century 'Dance of Death' scene - salvaged in 1937 from 46 Broad Street, Oxford and executed for Alderman William Fletcher (<i>c.</i>1738-1826) who lived at this address.	Anonymous, British Artist 18th century	art, illustration, painting, religion, people, god, aura, man, adult, wear, print, woman, manuscript, saint, veil, kneeling, dancing, nude, ancient, baby			181.0	157.0	109.0	40.0	0.4	0.71	5.222972523855895	11.314423603497758
WA1845.10	WA1845.10.jpg	Cornelis Claesz. van Wieringhen (c.1580 - 1635)	Ships in a Squall on the Haarlemmer Meer	oil on panel	38.6 x 85.6 cm			Bequeathed by Revd Dr John King, 1737	WA1845.10	White 1999, p. 169	The city of Haarlem where van Wieringen worked appears in the background of this marine. The Groote Kerk of St Bavo is visible in the centre. Several ships are in difficulty in the heavy sea and some cargo has been lost overboard. This may be a late work influenced by the monochrome style of Jan Porcellis to whom this picture was attributed when acquired by the Bodleian Library.	Wieringhen, Cornelis Claesz. van c.1580 - 1635	water, no person, sea, fish, ocean, nature, environment, travel, river, tropical, outdoors, underwater, reflection, landscape, exotic, color, wildlife, lake, aquatic, pool	38.6	85.6	150.0	157.0	139.0	83.0	0.11	0.62	-6.6024680596627245	-5.972412601900398
WA1845.11	WA1845.11.jpg	style of Pieter Claesz. (c.1597 - 1660)	Still Life on a Table with Musical Instruments	oil on canvas	106 x 162 cm			Bequeathed by Revd Dr John King, 1737	WA1845.11	White 1999, p. 24	Pieter Claesz. came from Westphalia but was mainly active in Haarlem where his son, Nicholaes Berchem, was born in 1620. He specialised in painting still life. This painting has many elements which are found in his work but the style is wooden and it must be a copy or the work of a follower.	Claesz., Pieter , style of c.1597 - 1660	furniture, seat, room, people, still life, no person, group, art, indoors, one, weapon, table, container, offense, adult, religion, lamp, chair, painting, illustration	106.0	162	168.0	164.0	122.0	54.0	0.27	0.66	-0.3347342775079097	-9.071462710131927
WA1845.12	WA1845.12.jpg	British Artist (c.1700)	Still Life with Books and Astronomical instruments	oil on canvas, rolled	115 x 169 cm			Bequeathed by Revd Dr John King, 1737	WA1845.12		Perhaps designed as an overdoor. The English texts suggest that the artist was either British or an artist from the Netherlands working in Britain.	Anonymous, British Artist c.1700	no person, people, vehicle, old, war, military, art, one, vintage, weapon, antique, transportation system, aircraft, abandoned, group, industry, retro, watercraft, offense, waste	115.0	169	167.0	167.0	167.0	0.0	0.0	0.65	-0.4307779340136976	-11.29024728039409
WA1845.13	WA1845.13.jpg	British Artist (c.1680?)	St Andrew?	oil on canvas, rolled	123 x 98 cm			Bequeathed by Revd Dr John King, 1845	WA1845.13			Anonymous, British Artist c.1680?	people, one, adult, art, man, portrait, facial hair, print, music, wear, painting, musician, elderly, illustration, two, woman, leader, veil, religion, mustache	123.0	98	0.0	0.0	0.0	0.0	0.0	0.0	-4.597732016493356	-7.0924486289925746
WA1845.14	WA1845.14.jpg	British Artist (c.1680?)	St Paul	oil on canvas, rolled	124 x 98.5 cm			Bequeathed by Revd Dr John King, 1845	WA1845.14			Anonymous, British Artist c.1680?	people, art, print, engraving, portrait, one, antique, adult, illustration, painting, wear, man, facial hair, old, vintage, leader, scientist, ancient, engraving, painter	124.0	98.5	0.0	0.0	0.0	0.0	0.0	0.0	3.367188188179485	1.0199165236842287
WA1845.15	WA1845.15.jpg	British Artist (17th century)	St Peter	oil on canvas, rolled	66 x 49 cm			Bequeathed by Revd Dr John King, 1845	WA1845.15			Anonymous, British Artist 17th century	people, portrait, one, adult, man, scientist, mustache, facial hair, leader, administration, music, writer, art, poet, engraving, wear, print, politician, biologist, exploration	66.0	49	0.0	0.0	0.0	0.0	0.0	0.0	-0.22104885045382194	2.359299332626268
WA1845.16	WA1845.16.jpg	style of Hendrick Cornelisz. Vroom (1566 - 1640)	Three Warships off Flushing	oil on panel	92.6 x 218.8 cm			Bequeathed by Revd Dr John King, 1737	WA1845.16	White 1999, p. 165	Vroom was one of the first Dutch painters to specialise in marines. He was much imitated and this painting seems to be the work of a follower, possibly Aert Anthonisz., whose paintings were often confused with those of Vroom. The town of Flushing is located at the mouth of the river Scheldt. The ship on the left appears to fly a flag bearing the arms of the House of Orange. The ship on the right carries the flags of the Province of Zeeland and the city of Flushing.	Vroom, Hendrick Cornelisz. , style of 1566 - 1640	watercraft, ship, vehicle, transportation system, sailboat, no person, navy, warship, exploration, sail, water, aircraft, travel, military, boat, battleship, vintage, group, sea, wind	92.6	218.8	185.0	189.0	167.0	70.0	0.12	0.74	9.174640576332882	-5.445137009556463
WA1845.17	WA1845.17.jpg	British Artist (1711)	Sir John Chardin	oil on canvas	138 x 138 cm	Inscribed: <em>Anno 1711 / AEtatis 68</em>		Presented by the sitter's son, Sir John Chardin, Bt, 1746	WA1845.17	Poole 1912, no. 453	Sir John Chardin (1643-1713) was born in Paris but settled in England as a Huguenot refugee. He was a jewel merchant who travelled extensively in Persia and India, 1664-70 and 1671-7. His published voyages contain valuable information on the history and customs of Islam. He was appointed court jeweller and knighted in 1681 and became a Fellow of the Royal Society in 1682. In this portrait, he is seen pointing to a map of Persia.	Anonymous, British Artist 1711	people, painting, art, adult, baroque, picture frame, antique, wear, furniture, group, two, portrait, man, museum, woman, leader, engraving, victorian, ornate, one	138.0	138	0.0	0.0	0.0	0.0	0.0	0.0	-4.738323604329386	-11.45457858913225
WA1845.18	WA1845.18.jpg	Flemish Artist (early 17th century)	Louis XIII on Horseback	oil on copper	63 x 50 cm			Presented by the Revd Dr Richard Rawlinson, 1752	WA1845.18		The portrait corresponds generally to a number of paintings and prints of Louix XIII of France on a prancing horse. From the type and handling of the paint, it seems to be either by or after a Flemish painter. The appearance of the king suggests a date of about 1622.	Anonymous, Flemish Artist early 17th century	cavalry, art, painting, religion, sitting, Renaissance, veil, one, people, ancient, mammal, sculpture, illustration, armor, sword, no person, god, wear, knight, old	63.0	50	150.0	137.0	100.0	44.0	0.33	0.59	0.016122982343099578	-21.200454248455816
WA1845.19	WA1845.19.jpg	Hendrick van Minderhout (1632 - 1696)	View of the Roads of Antwerp from the West Bank	oil on canvas	121 x 201 cm			Presented by the Revd Dr Richard Rawlinson, before 1755	WA1845.19	White 1999, p. 88	Minderhout was born in Amsterdam but moved to Antwerp in 1672. He specialised in painting marines and may have been commissioned to paint this view of Antwerp for a civic building in the city. Four other variants of the painting are known.	Minderhout, Hendrick van 1632 - 1696	watercraft, vehicle, water, transportation system, travel, ship, people, group, many, river, no person, sea, sailboat, harbor, military, rowboat, art, fishing boat, tourism, outdoors	121.0	201	177.0	189.0	186.0	164.0	0.06	0.74	11.198244708081528	-5.603311004661862
WA1845.1	WA1845.1.jpg	Robert Walker (?1595/1610 - ?1659)	Self-portrait	oil on canvas	75 x 62 cm				WA1845.1	Poole 1912, no. 424	Walker was the leading portrait painter to the parliamentary side during the Civil War. This self-portrait is the most elaborate of several variants (Royal Collection; National Portrait Gallery; Belvoir Castle), which have been dated to the 1640s. It pays ironic homage to van Dyck's Self-portrait (Westminster Collection), in which the artist points at a sunflower as a symbol of homage to the King. Here, Walker points to a statue of Mercury as patron of the arts.	Walker, Robert ?1595/1610 - ?1659	people, adult, portrait, one, wear, man, woman, music, painting, two, profile, art, side view, musician, facial expression, group, leader, administration, religion, retro	75.0	62	185.0	187.0	164.0	65.0	0.12	0.73	4.1365649096584205	-29.034572423024706
WA1845.20	WA1845.20.jpg	Florentine Artist (c.1550/70)	Portrait of an Artist	oil on canvas	100.5 x 78.8 cm		Thomas Gibson	Presented by the Revd Dr Richard Rawlinson, 1752	WA1845.20	Lloyd 1977, pp. 89-90	The sitter's direct gaze and the fact that he is shown with drawing instruments, suggest that A20 might be a self-portrait. Traditionally A20 was known as a self-portrait by Federico Zuccaro, but his documented self-portraits do not portray the same person.	Anonymous, Florentine Artist c.1550/70	painting, people, art, adult, one, wear, print, portrait, man, royalty, illustration, woman, veil, lid, Renaissance, religion, monarch, gown, facial hair, leader	100.5	78.8	148.0	123.0	60.0	42.0	0.59	0.58	9.186175950444747	-29.181315667880313
WA1845.21	WA1845.21.jpg	Pieter Jacobsz. Codde (1599 - 1678)	Portrait of a Young Man standing	oil on panel	48 x 37 cm	Signed in monogram and dated: <em>CP</em>(P illegible) <em>ft 1625</em>		Bequeathed by Revd Richard Rawlinson, 1755	WA1845.21	White 1999, p. 26	Codde was a painter of small-scale portraits and genre scenes. This portrait of a fashionably dressed youth and a painting of a seated woman in the National Gallery, London, also dated 1625, are Codde's earliest known dated works.	Codde, Pieter Jacobsz. 1599 - 1678	people, one, man, art, painting, adult, wear, religion, veil, woman, lid, weapon, god, sword, soldier, facial hair, royalty, two, monarch, helmet	48.0	37	149.0	126.0	87.0	37.0	0.42	0.58	-2.4706405101106275	-16.42242770953949
WA1845.22	WA1845.22.jpg	attributed to Jacques de l'Ange (documented 1631-2 - 1642)	A young Woman at her Toilet: 'Pride'	oil on copper	36 x 28 cm				WA1845.22	White 1999, p. 182	The seven paintings numbered A22 to A28 form a set representing The Seven Deadly Sins. They have been linked with a series of larger paintings on canvas, now divided between various collections which have been attributed to the author of a painting of <i>The Holy Family</i>in the Noordbrabants Museum in s'-Hertogenbosch, signed: <i>JAD</i>. These initials have been associated with Jacques de l'Ange, a little known Flemish painter. The painting which relates to <i>Avarice</i>(Gem&auml;ldegalerie, Kassel) is dated 1642.	de l'Ange, Jacques , attributed to documented 1631-2 - 1642	art, painting, people, adult, woman, baroque, dress, Renaissance, portrait, reclining, Mary, religion, baby, girl, wear, saint, nude, one, Madonna, illustration	36.0	28	156.0	135.0	87.0	41.0	0.44	0.61	3.3433754137391074	-16.190763846680507
WA1845.23	WA1845.23.jpg	attributed to Jacques de l'Ange (documented 1631-2 - 1642)	A Loving Couple: 'Lust'	oil on copper	36 x 28 cm				WA1845.23	White 1999, p. 182	The seven paintings numbered A22 to A28 form a set representing The Seven Deadly Sins. They have been linked with a series of larger paintings on canvas, now divided between various collections which have been attributed to the author of a painting of <i>The Holy Family</i>in the Noordbrabants Museum in s'-Hertogenbosch, signed: <i>JAD</i>. These initials have been associated with Jacques de l'Ange, a little known Flemish painter. The painting which relates to <i>Avarice</i>(Gem&auml;ldegalerie, Kassel) is dated 1642.	de l'Ange, Jacques , attributed to documented 1631-2 - 1642	people, adult, man, woman, painting, religion, two, portrait, group, wear, facial expression, three, boy, art, child, family, baby, four, retro, reclining	36.0	28	163.0	135.0	75.0	40.0	0.54	0.64	3.2204084287996952	-15.202636356818616
